iter	Passed	Remaining
0	59	59057
1	59	29685
2	59	19875
3	60	14992
4	60	12057
5	60	10103
6	61	8712
7	61	7659
8	62	6856
9	62	6197
10	62	5663
11	63	5213
12	63	4840
13	64	4510
14	64	4226
15	64	3977
16	64	3756
17	65	3560
18	65	3387
19	65	3231
20	66	3088
21	66	2962
22	66	2844
23	67	2734
24	67	2634
25	67	2541
26	68	2455
27	68	2377
28	68	2304
29	69	2234
30	69	2168
31	69	2107
32	69	2050
33	70	1997
34	70	1946
35	70	1900
36	71	1858
37	71	1815
38	72	1775
39	72	1738
40	72	1701
41	73	1667
42	73	1634
43	73	1603
44	74	1573
45	74	1543
46	74	1517
47	75	1490
48	75	1464
49	75	1439
50	76	1414
51	76	1390
52	76	1369
53	76	1348
54	77	1329
55	77	1311
56	78	1293
57	78	1275
58	78	1259
59	79	1241
60	79	1224
61	79	1207
62	80	1191
63	80	1176
64	80	1162
65	81	1147
66	81	1134
67	81	1120
68	82	1106
69	82	1095
70	82	1082
71	82	1069
72	83	1058
73	83	1048
74	84	1038
75	84	1027
76	84	1016
77	85	1006
78	85	996
79	85	986
80	86	976
81	86	967
82	86	955
83	86	946
84	87	939
85	87	931
86	87	922
87	88	914
88	88	905
89	88	898
90	89	890
91	89	883
92	89	877
93	90	870
94	90	863
95	90	855
96	91	849
97	91	842
98	91	835
99	92	828
100	92	822
101	92	815
102	92	808
103	93	802
104	93	796
105	93	790
106	93	784
107	94	778
108	94	772
109	94	767
110	95	761
111	95	756
112	95	751
113	96	746
114	96	741
115	96	735
116	96	730
117	97	725
118	97	720
119	97	715
120	97	710
121	98	705
122	98	701
123	98	697
124	99	693
125	99	689
126	99	684
127	99	679
128	100	675
129	100	671
130	100	667
131	100	664
132	101	661
133	101	657
134	101	653
135	102	649
136	102	645
137	102	642
138	103	638
139	103	634
140	103	631
141	103	626
142	104	623
143	104	620
144	104	617
145	105	614
146	105	611
147	105	608
148	105	604
149	106	601
150	106	598
151	106	595
152	107	592
153	107	589
154	107	586
155	107	583
156	108	580
157	108	578
158	108	575
159	109	572
160	109	569
161	109	566
162	109	563
163	110	560
164	110	558
165	110	555
166	110	553
167	111	550
168	111	548
169	111	545
170	112	543
171	112	540
172	112	538
173	112	536
174	113	533
175	113	531
176	113	529
177	114	527
178	114	524
179	114	522
180	115	520
181	115	518
182	115	516
183	116	514
184	116	512
185	116	510
186	116	508
187	117	506
188	117	504
189	118	503
190	118	501
191	118	499
192	118	497
193	119	496
194	119	494
195	120	493
196	120	491
197	121	490
198	121	488
199	121	486
200	122	485
201	122	484
202	122	482
203	123	481
204	123	479
205	123	477
206	124	476
207	124	474
208	124	472
209	125	471
210	125	469
211	125	467
212	126	465
213	126	464
214	126	463
215	127	462
216	127	461
217	128	459
218	128	457
219	128	456
220	129	455
221	129	454
222	130	453
223	130	452
224	130	450
225	131	449
226	131	447
227	131	446
228	132	444
229	132	443
230	133	442
231	133	442
232	134	441
233	134	439
234	134	438
235	134	436
236	135	435
237	135	434
238	135	432
239	136	431
240	136	430
241	136	428
242	137	427
243	137	426
244	137	424
245	138	423
246	138	422
247	138	420
248	139	419
249	139	417
250	139	416
251	139	415
252	140	413
253	140	412
254	140	410
255	140	409
256	141	408
257	141	407
258	141	406
259	142	405
260	142	403
261	143	402
262	143	401
263	143	400
264	143	398
265	144	397
266	144	396
267	144	394
268	144	393
